Rank,Player_Name,Country_Code,Total_Matches,Win-Loss,Win-Loss_Percentage,Service_Points_Won_Percentage,Ace_Rate_Percentage,Double_Fault_Rate,First_Serves_In_Percentage,First_Serve_Points_Won_Percentage,Second_Serve_Points_Won_Percentage,Service_Games_Won_Percentage,Points_Per_Service_Game,Points_Lost_Per_Service_Game
57,Jaume Munar,ESP,36,15-21,41.7%,62.8%,5.1%,4.0%,63.8%,70.4%,49.4%,78.0%,6.3,2.3
58,Kei Nishikori,JPN,33,17-16,51.5%,62.7%,3.7%,2.2%,66.8%,68.2%,51.8%,77.4%,6.2,2.3
59,Laslo Djere,SRB,31,19-12,61.3%,64.3%,8.4%,3.6%,61.4%,72.0%,52.0%,81.6%,6.4,2.3
60,Benjamin Bonzi,FRA,19,11-8,57.9%,66.1%,7.0%,1.7%,64.7%,71.2%,56.7%,82.8%,6.4,2.2
61,Alejandro Tabilo,CHI,43,17-26,39.5%,63.7%,8.7%,3.3%,62.5%,72.7%,48.8%,82.0%,6.7,2.4
62,Alexander Bublik,KAZ,39,13-26,33.3%,64.6%,15.8%,7.4%,60.7%,77.3%,44.9%,80.7%,6.4,2.3
63,Roberto Carballes Baena,ESP,43,19-24,44.2%,61.3%,5.1%,3.2%,62.9%,68.3%,49.4%,74.6%,6.5,2.5
64,Francisco Comesana,ARG,27,13-14,48.1%,64.2%,8.7%,3.2%,62.1%,72.4%,50.8%,80.4%,6.5,2.3
65,Joao Fonseca,BRA,26,17-9,65.4%,66.3%,8.0%,2.1%,66.2%,73.1%,53.0%,84.3%,6.4,2.2
66,Daniel Altmaier,GER,34,13-21,38.2%,62.1%,9.2%,2.6%,60.1%,73.2%,45.4%,75.4%,6.5,2.5
67,Learner Tien,USA,28,13-15,46.4%,60.3%,4.1%,4.0%,63.4%,66.4%,49.9%,73.0%,6.6,2.6
68,Mattia Bellucci,ITA,26,12-14,46.2%,64.7%,10.5%,3.6%,61.5%,73.1%,51.2%,82.1%,6.6,2.3
69,Damir Dzumhur,BIH,26,12-14,46.2%,57.3%,1.2%,3.2%,65.8%,59.8%,52.5%,68.8%,6.8,2.9
70,Bu Yunchaokete,CHN,35,14-21,40.0%,64.1%,8.8%,2.0%,58.0%,73.0%,51.7%,79.9%,6.4,2.3
71,Juncheng Shang,CHN,35,20-15,57.1%,65.7%,7.2%,3.2%,62.1%,73.3%,53.2%,83.3%,6.4,2.2
72,Roman Safiullin,RUS,37,15-22,40.5%,64.6%,8.6%,3.4%,63.5%,72.7%,50.4%,79.2%,6.3,2.2
73,Corentin Moutet,FRA,30,12-18,40.0%,59.5%,3.0%,2.9%,64.5%,64.7%,50.1%,71.9%,6.7,2.7
74,Hamad Medjedovic,SRB,24,13-11,54.2%,67.6%,10.4%,3.3%,67.4%,74.9%,52.5%,85.7%,6.2,2.0
75,Arthur Rinderknech,FRA,46,19-27,41.3%,65.2%,13.5%,3.5%,63.2%,75.4%,47.7%,81.5%,6.4,2.2
76,Aleksandar Kovacevic,USA,29,11-18,37.9%,65.2%,11.4%,4.0%,58.4%,75.6%,50.5%,83.2%,6.4,2.2
77,Yoshihito Nishioka,JPN,34,20-14,58.8%,64.8%,4.0%,1.9%,63.4%,69.3%,57.0%,81.0%,6.3,2.2
78,Rinky Hijikata,AUS,35,13-22,37.1%,58.3%,4.6%,3.5%,60.4%,66.1%,46.4%,68.7%,6.5,2.7
79,Zhizhen Zhang,CHN,38,15-23,39.5%,66.5%,11.2%,2.4%,65.4%,73.9%,52.5%,83.7%,6.2,2.1
80,Aleksandar Vukic,AUS,43,21-22,48.8%,65.3%,12.4%,2.6%,60.7%,75.1%,50.3%,83.1%,6.5,2.2
81,Cameron Norrie,GBR,39,20-19,51.3%,64.0%,6.4%,2.6%,67.0%,70.3%,51.0%,80.3%,6.5,2.4
82,Christopher Oconnell,AUS,37,15-22,40.5%,63.2%,8.5%,2.5%,59.8%,70.9%,51.7%,79.7%,6.5,2.4
83,Hugo Gaston,FRA,32,13-19,40.6%,59.3%,3.9%,2.7%,54.9%,67.0%,50.0%,71.4%,6.6,2.7
84,Raphael Collignon,BEL,7,1-6,14.3%,61.2%,6.7%,9.0%,65.8%,70.1%,44.2%,76.4%,6.6,2.6
85,Borna Coric,CRO,18,6-12,33.3%,63.5%,9.7%,3.7%,59.6%,72.2%,50.5%,77.5%,6.4,2.3
86,Vit Kopriva,CZE,10,4-6,40.0%,56.7%,3.0%,4.6%,60.8%,62.8%,47.3%,67.0%,7.0,3.0
87,Jan Lennard Struff,GER,38,17-21,44.7%,65.3%,11.6%,5.1%,58.6%,76.0%,50.2%,81.7%,6.5,2.2
88,Jesper De Jong,NED,12,6-6,50.0%,64.1%,8.6%,3.1%,57.5%,74.3%,50.3%,80.2%,6.4,2.3
89,Botic Van De Zandschulp,NED,34,13-21,38.2%,61.4%,5.9%,5.7%,62.0%,71.5%,44.9%,75.8%,6.6,2.5
90,Hugo Dellien,BOL,7,3-4,42.9%,61.5%,3.0%,1.3%,70.3%,64.5%,54.2%,75.3%,6.6,2.5
